rank,name,score,pageviews,currentTier,id,family,lived,wikipediaUrl,imageUrl
102,Austroraptor,7598,7598,medium,230,,,,https://images.dinosaurpictures.org/Austroraptor/Austroraptor_2251ff43.jpg
103,Rajasaurus,7092,7092,medium,866,,,,https://images.dinosaurpictures.org/Rajasaurus/Rajasaurus_79229ef8.jpg
104,Dromaeosaurus,7043,7043,medium,321,,,,https://images.dinosaurpictures.org/Dromaeosaurus/Dromaeosaurus_b6a44f8f.jpg
105,Achillobator,6940,6940,medium,20,,,,https://images.dinosaurpictures.org/Achillobator/Achillobator_c1521a38.jpg
106,Gigantoraptor,6702,6702,medium,397,,,,https://images.dinosaurpictures.org/Gigantoraptor/Gigantoraptor_df83e6c5.jpg
107,Alioramus,5309,5309,hard,53,,,,https://images.dinosaurpictures.org/Alioramus/Alioramus_9e7f8806.jpg
108,Barosaurus,5154,5154,hard,160,,,,https://images.dinosaurpictures.org/Barosaurus/Barosaurus_5bb69c16.jpg
109,Neovenator,5121,5121,hard,767,,,,https://images.dinosaurpictures.org/Neovenator/Neovenator_3f1af1f9.jpg
110,Scelidosaurus,5029,5029,hard,911,,,,https://images.dinosaurpictures.org/Scelidosaurus/Scelidosaurus_1d4298cb.jpg
111,Stenonychosaurus,4942,4942,hard,972,,,,https://images.dinosaurpictures.org/Stenonychosaurus/Stenonychosaurus_fe383b3e.jpg
112,Sinraptor,4443,4443,hard,935,,,,https://images.dinosaurpictures.org/Sinraptor/Sinraptor_7e70feca.jpg
113,Abelisaurus,4345,4345,hard,29,,,,https://images.dinosaurpictures.org/Abelisaurus/Abelisaurus_3f8a21c7.jpg
114,Vulcanodon,4211,4211,hard,1023,,,,https://images.dinosaurpictures.org/Vulcanodon/Vulcanodon_249a0345.jpg
115,Camptosaurus,4132,4132,hard,223,,,,https://images.dinosaurpictures.org/Camptosaurus/Camptosaurus_e6dbd9e7.jpg
116,Asiatyrannus,3829,3829,hard,139,,,,https://images.dinosaurpictures.org/Asiatyrannus/Asiatyrannus_3d00ddf5.jpg
117,Ichthyovenator,3765,3765,hard,556,,,,https://images.dinosaurpictures.org/Ichthyovenator/Ichthyovenator_b2730fb5.jpg
118,Bistahieversor,3408,3408,hard,207,,,,https://images.dinosaurpictures.org/Bistahieversor/Bistahieversor_3741c630.jpg
119,Eocarcharia,3402,3402,hard,405,,,,https://images.dinosaurpictures.org/Eocarcharia/Eocarcharia_06ea0c77.jpg
120,Shunosaurus,3390,3390,hard,930,,,,https://images.dinosaurpictures.org/Shunosaurus/Shunosaurus_6e379e2a.jpg
121,Rapetosaurus,3368,3368,hard,879,,,,https://images.dinosaurpictures.org/Rapetosaurus/Rapetosaurus_b490dc0a.jpg
122,Saurornitholestes,3227,3227,hard,891,,,,https://images.dinosaurpictures.org/Saurornitholestes/Saurornitholestes_25e2a3ae.jpg
123,Teratophoneus,3219,3219,hard,1038,,,,https://images.dinosaurpictures.org/Teratophoneus/Teratophoneus_9ecd0046.jpg
124,Altispinax,3182,3182,hard,59,,,,https://images.dinosaurpictures.org/Altispinax/Altispinax_b8543040.jpg
125,Sinosaurus,3158,3158,hard,945,,,,https://images.dinosaurpictures.org/Sinosaurus/Sinosaurus_e3ccdc04.jpg
